fecha,usuario_id,texto,likes,retweets,conversation_id
2026-02-18 14:18:45+00:00,1594391279873363969,@VecinosCon5633 @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa Primer subte en el mundo con COCHE DOITORIO,1,0,2023936996352106934
2026-02-18 13:07:17+00:00,1371010009,@basubte @jorgemacri @Emova_arg no hay una puta vez que ande bien el puto subte E?. 1300 mangos el boleto manga de ladrones hdps!,2,0,2024108459784900750
2026-02-18 12:45:59+00:00,1561361598,@basubte subte D 9:45 SIN SIRE ACONDICIONADO....,0,0,2024103099585929543
2026-02-18 12:36:26+00:00,1352927058,@fedebillie Viajar en subte hoy es soportar el deterioro como norma. Lo que hacen @jorgemacri y @basubte a esta altura es abandono deliberado.,22,1,2024071149051642322
2026-02-18 11:43:26+00:00,254119436,Esta situacion sigue igual. Hace mas de 2 semanas la escalera mecanica de la linea H estacion cordoba esta rota y no hay nadie trabajando para arreglarla en ningun horario. @Emova_arg  @basubte https://t.co/hAPy115U4e,0,0,2024087357838827775
2026-02-18 10:48:10+00:00,277528852,En las escaleras de la estación Catalinas (salida a torre IBM) hay unos soretes enormes. La ciudad más linda del mundo @basubte @Emova_arg @jorgemacri,7,0,2024073448671129944
2026-02-18 02:00:13+00:00,1758968649015046144,Subte Combinación Lineas D y H. Sin luz. Para cuando la decisión política de respetar los derechos de los usuarios consumidores? @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/pgVRA2nPGE,0,0,2023940588400234609
2026-02-18 01:51:03+00:00,2998104443,@VecinosCon5633 @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA Emova parece estar blindado ni 1 solo.medio.hablando del  desastrozo servicio e.higiene en los subtes @a24 @infobae @CronicaTV @todonoticias @clarincom @claramuzzio @jorgemacri @pberecia,4,0,2023935188611334176
2026-02-18 01:45:57+00:00,1758968649015046144,Subte B. Esta foto puede ser de cualquier día. Para cuando la decisión política de mantener el orden en el transporte público? Para cuando la decisión política de respetar los derechos de los usuarios consumidores? @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa https://t.co/XTaCtl4drB,2,0,2023936996352106934
2026-02-18 01:38:46+00:00,1758968649015046144,Subte Estación Juramento. Anoche alguien se cagó. Para cuando la decisión política de mantener el orden en el transporte público? Para cuando la decisión política de respetar los derechos de los usuarios consumidores? @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA https://t.co/qA6SyXxabu,65,15,2023935188611334176
